Name,Public_Display_Name__c,Public_Search_Keywords__c,Publicly_Listed__c,Supports_Enrollment__c,Enrollment_URL__c,Institution_Status__c,Logo_URL__c,Logo_ContentVersionId__c,Website
"RiverHills Bank - OH","RiverHills Bank - OH","RiverHills Bank - OH Zelle 3CJ R","true","true","https://www.rhb24.com/zelle","Active","https://enroll.zellepay.com/logos/zellepay/3CJ.png","","https://www.rhb24.com/zelle"
"Rivermark CU","Rivermark CU","Rivermark CU Zelle 0IK R","true","true","https://www.rivermarkcu.org/zelle","Active","https://enroll.zellepay.com/logos/zellepay/0IK.png","","https://www.rivermarkcu.org/zelle"
"Rivertrust FCU","Rivertrust FCU","Rivertrust FCU Zelle 27D R","true","true","https://www.rivertrustfcu.com/","Active","https://enroll.zellepay.com/logos/zellepay/27D.png","","https://www.rivertrustfcu.com/"
"RiverWorks Credit Union","RiverWorks Credit Union","RiverWorks Credit Union Zelle 3LD R","true","true","https://www.rwcu.com/zelle/","Active","https://enroll.zellepay.com/logos/zellepay/3LD.png","","https://www.rwcu.com/zelle/"
"Rize Credit Union","Rize Credit Union","Rize Credit Union Zelle 2R8 R","true","true","https://rizecu.com/digital-banking/zelle/","Active","https://enroll.zellepay.com/logos/zellepay/2R8.png","","https://rizecu.com/digital-banking/zelle/"
"Rochelle Bank","Rochelle Bank","Rochelle Bank Zelle 2U8 R","true","true","https://rochellebank.com/","Active","https://enroll.zellepay.com/logos/zellepay/2U8.png","","https://rochellebank.com/"
"Rockdale Federal Credit Union","Rockdale Federal Credit Union","Rockdale Federal Credit Union Zelle 2NP R","true","true","https://www.rockdalefcu.org/personal/zelle","Active","https://enroll.zellepay.com/logos/zellepay/2NP.png","","https://www.rockdalefcu.org/personal/zelle"
"Rocket City FCU","Rocket City FCU","Rocket City FCU Zelle 2HM R","true","true","https://www.rocketcityfcu.org/zelle","Active","https://enroll.zellepay.com/logos/zellepay/2HM.png","","https://www.rocketcityfcu.org/zelle"
"Rockland Employees FCU","Rockland Employees FCU","Rockland Employees FCU Zelle 2HW R","true","true","https://images.printable.com/nonimpositions/22712/423796/22712_423796_txrkreun_press.html#addFAQ","Active","https://enroll.zellepay.com/logos/zellepay/2HW.png","","https://images.printable.com/nonimpositions/22712/423796/22712_423796_txrkreun_press.html#addFAQ"
"Rockland Savings Bank","Rockland Savings Bank","Rockland Savings Bank Zelle 2SC R","true","true","https://www.rocklandsavingsbank.com/zelle","Active","https://enroll.zellepay.com/logos/zellepay/2SC.png","","https://www.rocklandsavingsbank.com/zelle"
